# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-13
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Armenia,6621,Arable land,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,423,433,435,435,450,455,455,450,450,455,455,455,455,455,452.9,452.1,450.4,449.4,448.5,449.2,448.4,448.2,447.5,446.7,446.4,446,445.6,444.8
2,Afghanistan,6621,Arable land,5110,Area,1000 ha,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7793,7791,7790,7785,7771,7765,7729,7699,7794,7788
3,Albania,6621,Arable land,5110,Area,1000 ha,548,557,563,575,580,583,583,585,588,589,589,589,589,589,590,590,582,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622,619.1,617.1,615.6,615.1,620.3,606.9,611.346,610
4,Algeria,6621,Arable land,5110,Area,1000 ha,6512,6544,6845,7092,6904,6892,6846,6875,6885,6881,6592,6915,6910,6967,7069,7101,7129,7081,7260,7562,7533,7477,7519,7521,7650,7661,7673,7662,7583,7547,7503.7,7493,7511,7470,7469,7489,7493,7502,7502,7506.5,7496.2,7469.4,7462.1,7404.2,7470.8071,7505.017,7505.017
5,American Samoa,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.2,1.27,1.34,1.41,1.48,1.55,1.64,2.09,2.54,2.99,3.44,3.89,3.85,3.81,3.77,3.73,3.71,3.66,3.61,3.56,3.51,3.46,3.41,3.36,3.31,3.26,3.19,3.19
6,Andorra,6621,Arable land,5110,Area,1000 ha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.85,0.86,0.81,0.8,0.78,0.77,0.76,0.77,0.77,0.77,0.76,0.81,0.8,0.81,0.82,0.82,0.83,0.8
7,Angola,6621,Arable land,5110,Area,1000 ha,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2950,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3300,3300,3300,3300,3400,3400,4000,4100,4700,4700,4900,4900,4900,4900,4900,4900,4900
8,Antigua and Barbuda,6621,Arable land,5110,Area,1000 ha,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,Argentina,6621,Arable land,5110,Area,1000 ha,26000,26000,26000,26000,26000,26000,26000,26000,26000,27000,27000,27000,27000,27000,26800,26367,26470,26575,26680,26785,26890,26998,27105,27212,27320,27425,27532,27640,27746,27862,29828.2,31794.4,33791.6,35582.5,36984.9,35636.3,34490.7,38003.1,38626.5,39622.9,39391.3,38039.7,36688.1,35336.5,33984.9,32632.7597,32632.7597
10,Australia,6621,Arable land,5110,Area,1000 ha,14924,14778,13573,14472,14843,16635,17270,17786,18226,19443,19249,21739,20963,20677,19600,18136,17527,16956,17208,16226,17111,17843,16837,19193,20904,21350,22994,23473,24200,23735,23240,25743,26402,24228,23125,23994.1,27141.6,25450.2,31694.9,31637.4,31220.8,31960.3,31090.7,30057,30752,30974,30573
11,Austria,6621,Arable land,5110,Area,1000 ha,1514,1514,1511,1520,1529,1547,1523,1536,1549,1535,1439,1445,1448,1439,1439,1458,1459,1426,1445,1436,1419,1423,1414,1410,1406,1404,1402,1399,1387,1385,1380.03,1379.3,1380.7,1377.2,1376,1369,1366.6,1363.8,1359.6,1355.1,1353.9,1351.7,1346.1,1344.49,1328.94,1327.15,1325.53
12,Bahamas,6621,Arable land,5110,Area,1000 ha,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,9,9,8,8,8,8,8,8,8,8,8
13,Bahrain,6621,Arable land,5110,Area,1000 ha,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.7,1.5,1.5,1.45,1.4,1.2,1.36,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
14,Barbados,6621,Arable land,5110,Area,1000 ha,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,13,13,13,13,13,13,12,11,10,9.5,9,8,7,7,7,7
15,Belgium-Luxembourg,6621,Arable land,5110,Area,1000 ha,985,983,982,981,977,971,962,762,760,758,759,762,764,765,668,767,767,766,760,832,841,940,874,862,870,873,873,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,6621,Arable land,5110,Area,1000 ha,9131,9131,9144,9138,9131,9125,9118,9121,9109,9104,9089,9185,9152,9161,9235,9537,9553,9456,9385,8609,8506,8408,8404,8357,8390,8454,8436,8350,8303,8253,8228,8143,7911,7880,7816,7803,7796,7791,7678,7670,7678,7669,7732.24,7764.21,7757.33,7772.3,7967
17,Bermuda,6621,Arable land,5110,Area,1000 ha,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
18,Bhutan,6621,Arable land,5110,Area,1000 ha,110,115,115,120,120,120,125,130,130,135,145,145,145,145,146,141,133,135,135,135,136,140,146,151,153,153,153,106,111,111,111,158,167,151.3,136.3,100,100,100.6,100.2,100.2,100.2,100.2,100.2,100,94.5,94,94
19,Bolivia (Plurinational State of),6621,Arable land,5110,Area,1000 ha,1678,1711,1752,1807,1845,1877,1910,1943,1980,2018,2051,2093,2050,2060,2070,2080,2090,2100,2110,2150,2200,2350,2600,2690,2872,2974,3070,3144,3150,3300,3514,3579,3806,3905,4171,4266,4454,4297,4338,4422,4506,4469,4416,4438,4241,4480,4540
20,Botswana,6621,Arable land,5110,Area,1000 ha,401,401,401,401,401,401,403,403,403,405,405,405,407,407,409,409,414,420,300,250,350,395,345,345,300,230,240,350,200,245,195,226,240,201,182,279,316,259,324,285,280,402,259.6,259.6,259.6,259.6,260
21,Brazil,6621,Arable land,5110,Area,1000 ha,31574,32697,33822,36567,39311,42056,44800,47546.208,48543,49540,50537,51534,52907.707,51794,50681,49567,48454,47340,46226,45113,43999,42886,42563,43140,43717,44294,44871,45448,46025,46602,47179,47756,48333,48914,49537,50159,50782,51405,52027,52650,53272,53895,54518,55140,55762,55762,55762
22,Aruba,6621,Arable land,5110,Area,1000 ha,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,Belize,6621,Arable land,5110,Area,1000 ha,41,41,42,42,43,43,43,45,46,46,46,46,43,44,49,50,52,52,54,56,60,60,62,63,64,64,64,64,65,70,70,70,70,70,70,70,73,75,75,78,78,78,88,88,90,90,90
25,Solomon Islands,6621,Arable land,5110,Area,1000 ha,10,10,10,10,11,12,12,12,12,13,13,13,13,13,10,10,11,11,11,11,11,11,12,12,12,13,14,14,15,15,16,16,16,16,16,17,18,19,19,20,20,20,20,20,20,20,20
26,Brunei Darussalam,6621,Arable land,5110,Area,1000 ha,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
27,Bulgaria,6621,Arable land,5110,Area,1000 ha,4120,4098,3957,3940,3937,3926,3897,3827,3824,3818,3812,3807,3810,3819,3825,3840,3848,3856,3864,4047,4063,4001,3998,4203,4298,3536,3578,3526,3467,3355,3323,3313,3173,3132,3085,3088,3146,3186,3250,3317,3479,3486,3509.7,3496,3489.08,3478,3476
28,Myanmar,6621,Arable land,5110,Area,1000 ha,9485,9494,9505,9518,9550,9558,9567,9573,9605,9620,9613,9591,9593,9596,9574,9552,9538,9567,9554,9534,9579,9534,9540,9543,9559,9556,9690,9909,9990,9862,9851,9912,10059,10336,10577,10694,10794,10811,10786,10751,10772,10816,10932.9999,10948,11061.6,11080.3,10990.3736
