# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption (Ag use) by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Armenia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,,,,,,,,,,,,,,,,,,,,15000,15000,7000,7000,8000,8000,9620,6158,7000,5000,15700,10450,13187,10251,57900,26808,24331,39541.9,29587.4,35946.9,57446.8,58593.9,48635.7,63282,146292.2,90106.3,90106.3,90106.3
2,Afghanistan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,17700,24200,27668,30646,37014,35497,33227,37846,28740,38843,36800,52820,53182,50720,52800,49830,50000,44100,42800,38900,40000,28333.333333333336,16666.666666666668,5000,5000,6000,5000,5000,18400,24523.53,20407.02,22339.69,20466.15,20463.22,16377.29,14432.03,14155.88,12929.01,22970.63,17065.25,34903.79,73872.84,21075.57,96670.85,140775.85,46613.5,59702.92
3,Albania,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,36100,36300,36000,45300,50000,71900,70900,68800,72500,70800,73000,75000,75000,75000,66100,69300,79900,73500,22300,14800,15220,12680,10000,5500,4200,18000,5800,12100,10700,38216.98,37378.31,36119.72,37210.64,30333.88,31483.82,28744.8,33940.18,31292.44,36892.7,34944.13,30711.91,30711.76,36803.92,42896.08,39184.92,24769.07,38329.56
4,Algeria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,76000,66000,40000,51000,52138,57616,60269,84000,57700,48738,59300,87724,98173,112680,80000,52600,46300,63000,41000,46700,73800,58200,18400,14000,36000,44000,47000,44300,45300,28036,17076,104717,4086,43847,36626,23102,37100,60100,56300,72600,64000,76500,74400,70200,70200,70200,70200
7,Angola,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,9100,6500,2100,1000,13100,10000,9400,9200,4600,2800,3800,3715,12794,5000,4000,5221,9176,2500,2300,3100,2000,2000,2000,2000,2000,2300,2300,1400,2078.5,2757,1787,7187,3682,6641,5584,8172,10468,17369,16381,19423.09,20439.57,27612.52,25494.28,20776.77,26714.79,21942.48,17106.87
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,33,0,17,9,2,9,23,4,4,26.7,32.41,20.62,8.52,61.16,8.98,8.59,27.02
9,Argentina,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,43843,42000,28000,39200,41700,47718,58915,62652,51173,53300,62200,103800,104600,93000,94500,99100,99400,101400,95700,146600,167700,281800,318800,510300,476400,422700,457300,498223,496500,534592,740659,796423,640406,787677,981351,761959,477061,771245,857190,734890,788154,784091.52,603481.31,923361.84,975843.08,1160519.5,1278498.82
10,Australia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,172259,177594,167000,207800,177000,215000,245000,248000,250000,258000,305000,344000,340000,332500,363100,392600,440300,439400,462300,488200,565400,583200,671300,824600,839400,979000,1082000,951000,1034000,972266,932911,1056527,952174,858103,848006,835018,849785,981787,1098921,1124607,1222075,1404588,1302762,1474114,1493809,1411216,1337593
11,Austria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,132103,125553,121444,143269,134519,154000,158000,159700,161544,149673,154126,161100,165083,136800,131500,141800,125100,135700,132000,124000,120000,121000,125000,125309,131819,127537,119492,121644,117093,127585,94435,100789,99702,103692,103262,134382,86254,90639,116751,97721,112005,111615,130252.24,122622.76,117703.82,113135.88,98234.09
12,Bahamas,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,786,524,463,529,600,400,400,500,500,400,300,300,200,200,200,200,200,200,200,200,100,100,100,200,100,100,100,100,400,426.96363636363634,453.92727272727274,480.8909090909091,507.8545454545455,534.8181818181818,561.7818181818182,588.7454545454545,615.709090909091,642.6727272727273,669.6363636363636,696.6,489.05,555.72,662.04,1279.47,1628.05,1989.14,1989.14
