# File: FAO_Fert_Prod_tN_RESOURCESTAT.csv
# Title: FAO fertilizer production by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Armenia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2727.272727272727,2454.5454545454545,2181.818181818182,1909.090909090909,1636.3636363636365,1363.6363636363637,1090.909090909091,818.181818181818,545.4545454545455,272.727272727273,0,0,0,0,0,0,0
2,Afghanistan,3102,Nutrient nitrogen N (total),5510,Production,tonnes,19117,19117,14774,26203,37689,48300,48300,48900,48300,48300,48300,48760,55200,56100,56700,55200,55200,57500,48800,42000,40000,14000,10000,5000,5000,5000,5000,5000,18400,23414,16206,19458,15631,17636,16973,15324,13606,12022,17555,15776,15694,14416,14416,14416,14416,14416,14416
3,Albania,3102,Nutrient nitrogen N (total),5510,Production,tonnes,36000,36000,36000,45000,50000,71900,72700,73000,73000,70800,73000,75000,75000,75000,66100,69300,79900,72400,22300,5700,9200,3650,3193.75,2737.5,2281.25,1825,1368.75,912.5,456.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Algeria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,52000,78700,31000,33003,41831,42200,20700,23800,23700,50990,47000,101788,105828,112490,117000,105500,88000,80000,87900,64500,104500,82900,12000,8300,28400,40700,54400,90700,118200,72600,99660,153790,83100,27440,137780,11040,13400,20800,19500,24500,68000,438300,777600,1043200,1043200,1043200,1043200
7,Angola,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina,3102,Nutrient nitrogen N (total),5510,Production,tonnes,28577,25000,18000,20700,27160,27943,25360,30437,25124,46900,50100,49300,52000,35983,43800,51100,49500,52500,42130,32688,47838,58186,58300,80700,97100,98600,119600,147000,433300,523700,607492,627693,574741,659115,468938,405948,514223,433113,533256,542503,630491.64,470858.26,431740,542945.76,617126.54,436101.01,510238.18
10,Australia,3102,Nutrient nitrogen N (total),5510,Production,tonnes,197200,198000,180000,220000,215000,206000,209966,214000,206000,212000,232200,235000,215700,226200,249700,235900,230000,224500,229500,224100,232300,228900,281000,278700,250800,299000,316000,383000,379500,354464,314751,326123,338588,337240,392912,330489,543309,285633,317961,237495,716831.6,342300,413300,423400,423400,423400,423400
11,Austria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bahamas,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bahrain,3102,Nutrient nitrogen N (total),5510,Production,tonnes,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,223376,246974,281800,290260,260820,234600,258086.68,287353.72,268990.98,304060,300840,289340,310040,288420,316480,319240,320840.96,373899.26,307988.97,355656.96,355656.96
14,Barbados,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium-Luxembourg,3102,Nutrient nitrogen N (total),5510,Production,tonnes,653812,641386,609956,645234,608961,752900,756100,743000,739000,731000,757000,730000,723000,665000,728000,666000,678000,770000,762000,606000,588000,612000,699000,660000,835000,899000,930000,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,3102,Nutrient nitrogen N (total),5510,Production,tonnes,129700,32680,130983,128058,107674,134851,168125,160508,193428,236579,335316,343096,386182,391327,592734,666108,677340,659300,759100,925200,995760,909840,981640,965739,868247,1010100,1048800,1099800,1116680,1155433,952070,923410,880646,815701,855556,692900,594020,491520,425340,437820,477460,394580,415220,482040,435200,361160,379840
17,Bermuda,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bhutan,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87011.76,133065.84
20,Botswana,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil,3102,Nutrient nitrogen N (total),5510,Production,tonnes,114338,150171,160760,200272,231367,266868,284216,384305,349579,396759,533295,669237,696187,714174,746069,705089,748499,737221,704320,664628,709188,768253,795645,779003,808425,728048,847608,772211,657750,894759.25,841991.98,909389.14,916965.66,919394.59,824270.52,837947.44,724633.53,927493.1,888308.36,797713.89,848885.74,813012.06,831223.85,708327.87,510760.96,541930.88,356784.6
23,Belize,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bulgaria,3102,Nutrient nitrogen N (total),5510,Production,tonnes,518604,592863,672462,663047,704979,685343,676710,730400,752864,758067,831304,836103,837776,817929,935626,956270,926046,911147,760387,681479,648900,698400,833000,835186,694900,362900,277500,403600,326776,270353,288200,331300,348700,237540,262130,281953,190288,264177,368944,258000,185988.78,210008.67,319561.8,318761.79,264388.64,264388.64,264388.64
28,Myanmar,3102,Nutrient nitrogen N (total),5510,Production,tonnes,36800,43328,47354,55490,53000,57524,61600,59800,60000,51200,60000,86500,115000,140300,136200,98600,88300,70300,69000,44600,50000,68800,65500,73600,56100,51600,65500,77100,27600,20400,30000,40000,46058,52925,50614,48823,32097,16235,76273,95963,77034.82,78269.92,66539.46,36228.22,23023,23023,57678.94
29,Burundi,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cameroon,3102,Nutrient nitrogen N (total),5510,Production,tonnes,1400,1400,1400,1400,1400,3175,4950,6725,8500,8095.238095238095,7690.476190476191,7285.714285714286,6880.952380952381,6476.190476190476,6071.428571428572,5666.666666666667,5261.9047619047615,4857.142857142857,4452.380952380952,4047.6190476190477,3642.857142857143,3238.0952380952376,2833.333333333334,2428.5714285714284,2023.8095238095239,1619.0476190476193,1214.2857142857147,809.5238095238092,404.7619047619055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Canada,3102,Nutrient nitrogen N (total),5510,Production,tonnes,802930,895000,774700,1204000,1577700,1673900,1708600,1755000,1825000,1897100,2370900,2542900,2825300,2466500,2762000,3000000,2706001,2842790,2904173,2971740,3850610,3801330,4018940,3864200,3654300,3737100,4141400,3831040,3331790,3087621,2905009,3048059,3109020,2309320,3234810,3192990,3129160,3361936,3443253,3358080,3820380,3707220,3994220,4122960,3735920,3822840,3927800
37,Central African Republic,3102,Nutrient nitrogen N (total),5510,Production,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sri Lanka,3102,Nutrient nitrogen N (total),5510,Production,tonnes,6300,6300,6300,6300,6300,6300,6300,6300,38403,96981,57574,64302,5500,5303.571428571428,5107.142857142857,4910.714285714286,4714.285714285715,4517.857142857143,4321.428571428572,4125,3928.5714285714284,3732.142857142857,3535.714285714286,3339.285714285714,3142.857142857143,2946.4285714285716,2750,2553.5714285714284,2357.1428571428573,2160.714285714286,1964.2857142857142,1767.8571428571427,1571.4285714285716,1375,1178.5714285714284,982.1428571428569,785.7142857142862,589.2857142857138,392.8571428571431,196.42857142857156,0,0,0,0,0,0,0
40,Chile,3102,Nutrient nitrogen N (total),5510,Production,tonnes,106654,111410,85268,95872,88890,90218,93863,100730,98220,90728,98080,112750,126700,122260,115000,115000,105000,110000,98000,126000,116000,97000,111000,111000,115000,97000,95000,112500,115000,115000,167555,120370,130750,122776,167056,207643,198198,190000,150000,130000,106000,0,0,0,48700,40900,40900
