# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: FAO forests export (roundwood total) by country_year
# Units: m3
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:FO FAO.udpate:2021-12-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: icicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Armenia,1861,Roundwood,Import,m3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3951.410039677713,1997.6098742741174,980.283837453017,1169.8654352813687,988.3471444397904,2492.771280351112,1203.0583886630704,1244.0682177676676,3531.3822921548945,1.9922156672143752,255.78812337076056,746.7034047580487,1061.4844544942164,501.83489722670083,103.58213989958206,922.1104409587535,1322.8588359216767,1070.0186980740284,1151.4552695468174,1574.5875062091868
2,Afghanistan,1861,Roundwood,Import,m3,6955.327100523636,6793.273162278172,6976.487824145653,7034.134391166938,6515.877985904774,6049.0883151907665,5558.912018968432,5185.140002735577,4679.297277779713,4375.504550153092,3903.2188441731455,3516.8443920915615,3132.8020018631296,2727.779268825218,752.8431433263796,1955.1689943067488,1553.429878255168,1152.2985473817464,762.4744247116895,100.29368224167958,93.56260515828893,70.11053510779904,149.75141878589804,35.13954547741647,1723.1554395444784,1742.2361573808603,68.30273592225414,203.61318182347404,200.53405951364394,202.75740223882292,198.99761900296244,5581.233014154864,5658.287401917801,2394.057537649208,889.4743168640078,110.05974754342715,129.81531688564803,86.66138152382531,99.91723569170334,560.2781251808714,118.95077457769946,43.244289740978225,19.919642288381166,456.6267285003859,145.87416166507919,1526.6257554088438,1641.541562260209,1253.467690775166
3,Albania,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.24141225211676,185.75647837068857,89.03946622595419,91.40671016801568,4209.085341023751,12490.201229493206,2370.8866036035756,1055.7989160098557,2126.2359821436507,9878.525099194283,399.5219748548235,578.36746409728,575.1838390133396,583.1248152194764,588.2940221628625,581.8069256649275,579.7790272376966,598.3674762697839,1852.7605705093688,7000.201532560736,6394.587546787047,105846.02822591901,120681.73881203226,119517.853730287,118093.11943975498,30445.735988070497,13193.281237635345,18280.71375486882,39061.57455841812
4,Algeria,1861,Roundwood,Import,m3,41429.55707703209,82700.71675816906,45599.94215492304,34660.952072416796,76311.43838197776,44483.18998409379,66594.85526441578,116186.58821347165,105627.2912401976,139086.08666670215,276086.0633381601,246179.10744640933,208294.66152855862,186940.08513411903,205730.2770461417,195871.0967122522,130587.64303794476,25841.547423456734,64865.72520845335,69189.47086929283,47123.485565616786,53707.848244804285,47259.2139804847,22352.655317578814,20043.47942101426,28430.618265560057,42640.42228289295,38917.19928448666,29141.649042623132,30386.642602520737,16511.900958058617,76553.06942122456,77609.95951713456,33557.68697608667,23606.569480496102,34113.60835687566,4014.133001823398,10364.502008682786,6421.680737905774,5971.62266516571,5689.476031496066,29567.0260089479,10313.394794809348,37547.7073258701,36248.73003567858,39868.798071003446,41193.980567527455,15752.877674889494
6,Andorra,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.089415602655,2288.6019785597437,4146.4852668201465,2938.8630209594203,2553.727669629495,2621.622240563514,2631.5615168643003,2623.1660446142932,2652.212693562281,2630.6310863771027,2704.1435379117534,2663.2503667427786,2692.77811052151,2642.845225773334,2628.297677932142,2664.5839014096755,2688.204548730639,2658.56181625872,2649.2953515810677,2734.2351119039618,2685.5067194049775,2693.768674248322,2702.1642674197305,2717.7227818769297,2711.316398643658,2868.428489526888,2416.9725112003184,3760.7557842969723,3688.359383222917,3477.137494968549,3429.2795243234386
7,Angola,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.8198229544147,190.3247565077913,170.80317001782123,202.81976227613293,226.48633110580658,247.97712086651566,77.8387550330651,207.5730260911132,322.9743655752303,325.9816950375815,468.242089701809,473.4335402029658,682.2775508672997,3333.1416026891666,3379.158886839644,2068.0030541792826,2427.811272859409,2419.349093320693,2989.8090170225814,3323.0157329135777,2632.819160476383,2574.8738883535934,2310.4675875600606,2511.185848447038,1849.5387864761913,417.26235535380096,672.4199369903992,327.4158596871681,386.1285942590359,1152.4299918379818
9,Argentina,1861,Roundwood,Import,m3,20160.368407314887,11912.84134254578,17592.882339149906,4485.534974077468,3112.703407685935,10648.101405588448,11769.341136568326,19331.554575416336,6855.153270616115,7595.481328607139,12994.567083706868,11676.479404572774,5671.873412514742,3223.1049161055007,3428.837950769029,6248.040047023741,995.3326451062862,5230.433406376276,2202.9985697177167,2779.857212840089,2169.4401342345154,5020.310329761247,5153.782594579608,4392.4431846770585,7978.472390889172,1672.3893097388268,4878.766851589582,4012.0824004625424,1975.7050198388565,2024.2385881159457,2103.850140912521,7287.286773940193,7387.894904687434,1742.9456792214976,1723.726281461514,1717.7182027313452,1772.790421219631,315.76618325347846,2044.3066422522504,1478.3725127760024,1100.3068106382527,19.107941978571773,191.22856596845918,1306.8971884666219,91.92070461087181,97.63304249707723,41.58307938174233,185.8014336861918
10,Australia,1861,Roundwood,Import,m3,98785.80519584294,101899.09743417258,41454.492868111854,48015.613017965625,22592.202152559206,21893.292609621105,17163.62249082881,591.7822829209082,386.2058180628797,1282.3539905440625,1357.6413371037027,681.12796526674515,586.7455254325595,1074.3683053685002,979.6679859340081,892.5771495748202,5673.396077105832,2730.4465579263124,1494.4498724349116,10721.293324885808,4393.629546304602,3410.0221107812245,2042.0648016258822,1756.9772738708234,1556.7751006613018,4033.4095117230527,1658.7807295404577,3109.36386035847,1185.4230119033139,2197.370861701529,2156.624442396637,2144.7532980158426,1186.0165733277486,1695.084470638756,1676.3928366616556,720.30174061903665,3245.382922141201,2222.3165767776354,1024.1516658399592,1651.7680685117639,1345.7566445866846,6922.103402026817,7746.748885951435,6212.682191859776,3739.7738843314473,1654.8307607080362,8381.960715376918,1740.649466838618
11,Austria,1861,Roundwood,Import,m3,2775881.1260031867,3276129.8224343257,2273728.3795563397,2476830.857504231,2464759.049950537,2395424.756391771,3158498.8496837197,3704557.0910848854,2969343.432176451,3163271.36682823,3005236.074060268,2863072.7500012442,4041112.015495848,3607728.769427424,4345807.18560326,4289824.956095427,3859999.5309866886,4596778.423178632,6601246.022237017,5049056.4792029485,4679550.806141144,4821392.373299009,4860114.2278696,4633539.510591555,5286224.451183033,5151942.83241308,7035181.799992178,8615946.95499331,7572877.341042338,7443094.391545361,7542303.845363513,8841258.027138945,8797277.932658575,9400739.052460114,8858256.971606854,7681580.772740804,8721672.490427159,8618076.94551882,8245409.091472663,8060123.021966941,9219967.278799359,8138756.35186032,8478836.575316135,9563918.894227859,9264466.00907299,10504840.027973555,10849534.308382342,12479822.44058808
12,Bahamas,1861,Roundwood,Import,m3,2721.6497349875094,2855.1437928415507,4246.5578060017015,1427.2156735701035,2309.4251089282743,2288.844227369479,2255.790384508929,2268.4987511968147,3282.7494535344777,98.64261465723557,96.97438122169305,97.30399503810645,97.79092090542657,293.00953782777276,293.9003957802025,11603.502944472662,14332.790089530523,25939.743299668397,51527.06392467094,22498.20298205273,25074.19158301605,20110.60539833227,31895.107377775686,13079.719705482798,17416.421438648315,11313.221801174417,8196.328310670497,17352.256382000494,11557.874366057311,9645.459277932576,26997.99716729354,65636.27513432394,66542.44819369777,24859.90942468557,27976.03810358304,23812.212522074344,12980.517506401635,7217.797362317681,17481.519556620417,38975.91315547146,25403.046774220562,23003.950779886884,9397.091249543815,4385.191168529569,1754.4864923553357,5824.452009977153,30371.489121769704,68692.63042494678
13,Bahrain,1861,Roundwood,Import,m3,403.2073681462977,393.8129369436622,404.43407676206687,407.7759067343153,502.0489367235379,2487.8741601842166,11377.029765349382,44876.82312150221,54358.46889235032,71022.68255320961,69821.554479619,70058.87642743664,31293.094689736507,29300.953782777277,29390.039578020245,29752.571652494007,29859.979353188588,1987.9654939177265,1265.4865379417784,884.4079252220836,363.69163133629553,1679.4358895597532,1818.4100852573333,585.6590912902745,583.7906627479882,1306.2243174570644,1017.610444579712,760.7199847225062,487.1435332737784,70.91515053673116,711.6860659908904,883.2484036374335,942.8831757955602,399.8405133683184,870.7381616307305,2547.097014576457,1488.819415532276,4532.290642912703,4575.210222323096,9452.563503722358,4637.064093706927,3695.8782511184877,3714.017304668668,6694.895762905443,6064.768228130346,2511.831911515714,2217.7642336929243,1070.3993847800698
14,Barbados,1861,Roundwood,Import,m3,2721.6497349875094,2658.2373243697198,2729.930018143951,1834.9915803044187,2108.605534238859,2089.814294554742,784.6227424378884,986.3038048681804,2510.3378174087184,493.21307328617786,872.7694309952375,3113.7278412194064,488.9546045271329,488.34922971295464,489.83399296700406,495.8761942082334,696.7328515744003,4202.382702364387,2984.7742793834605,174.2476095512009,1963.4977351492414,1715.430567395777,927.6808670243294,1171.318182580549,2627.057982365947,2459.396043733569,2927.260110953749,3009.0618003469067,3062.3427807502276,3465.8531318655932,4720.066677336276,7840.04819211064,7948.287735584795,7982.850748196402,9368.077616638662,2100.9619664986362,1330.6069980778923,1184.372214158946,1016.158286984623,309.70651284595573,2777.1981691657797,5101.8205082786635,808.7374769082753,612.1160024293966,372.67850891146935,90.72969605788995,2598.9424613588953,601.2243273390859
15,Belgium-Luxembourg,1861,Roundwood,Import,m3,2890392.018556735,3059532.7071153116,1647866.6457670412,2578570.9462344428,2703734.343830941,2584403.6775993644,2646238.2767145834,2897760.578702714,2718599.3047991265,3105368.152024433,2849107.3202933418,2940332.122061501,3278636.2051962367,3176516.399590885,3225556.843687722,3313643.080177099,3418171.3698240086,2195709.8920296025,2589210.2094217967,2359667.2069473467,2454038.6124119232,3329034.08565017,3159852.1775634787,2413305.8955101245,2800638.406089682,2831650.228913082,3774214.0363897006,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,98279.87550995372,23440.763026221823,37325.35026408571,49587.61942082334,59719.958706377176,3435.8536686713123,3484.986969604946,18880.53894887053,9245.624441104635,93.77560804648367,9768.849046254101,16404.311147040593,6810.891065393195,75454.27062174589,4781.19151455779,4914.8009405666135,3655.054286701885,123485.25079306596,190396.60861314967,335149.8741144457,3119.223587851979,33.90168941277513,401.34816736546696,709.4923011281643,522.3038140320995,17417.94157845528,6938.25284643188,46123.21782571259,1279.224855416107,154094.48956445692,75252.42463704637,137303.91764461712,146615.5221305277,64123.21268891372,44684.979088956585,45149.846199326064
18,Bhutan,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.22785600132097,298.06488138970974,292.77650674591314,282.54538025857363,328.31172847748746,427.84115755682444,525.5886592731165,730.4506677858499,1012.4291018162885,1148.296943695325,1345.9212736641343,1602.307648710796,1797.640886124772,1768.4065425936524,1681.9307027507114,1838.099984929938,1810.9843767923924,1607.0538325445843,1612.3482547540023,1901.7121246909294,2149.600704924311,2156.213946226958,2316.28398442396,2329.6206783818934,2324.129153288388,152.3852635061159,150.5687272856876,45.838376528721504,5.9171540907319535,5.940439911677475,18.58014336861918
19,Bolivia (Plurinational State of),1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9791.531656534286,672.4508742771308,138.79024714252628,114.80588362459098,150.23686094528364,123.5379987849854,97.60984854837909,97.29844379133137,2951.2752524802827,975.7533703179164,1203.6247201387625,845.6017484910307,797.0463398353728,1176.3406049436203,1325.8474933188845,2273.198432211518,5601.755621205019,7157.211299111938,1850.379505573869,1914.7759240633086,6685.875779171443,8137.2596747323205,6281.329178011665,7024.14404455432,13488.19567455814,8268.643513907022,5215.779441922512,2044.2365394983012,2551.279605453927,300.98228885832543,910.4270250623398
20,Botswana,1861,Roundwood,Import,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.1685092317687,388.9647241192157,292.8295456451373,291.8953313739941,196.7516834986855,390.30134812716653,401.2082400462542,395.1410039677713,399.5219748548235,392.1135349812067,389.9551450937896,395.3388577759162,398.8434048561779,394.44537333215425,393.07052694081125,5777.7957835745065,8456.955507325023,8705.788745818112,7133.2726599503785,6047.33641264084,3078.3900208635896,1891.3700352817916,1917.0449722386893,18613.942683701538,41891.478577685324,81522.63705458722,82488.77800952803
