# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Armenia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,251136,257486,269845,276000,276800,277840,256000,256200,252100,264920,270107,280764,290995,290069,297060,307089,310610,283000,273854,272600,283349,303277,309616,313872,318623,295974,266815,253990,251716
1,Armenia,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,240000,187000,158000,138000,131000,112000,120000,114000,113000,113000,116307,115900,121800,175000,180000,200000,290000,312000,345106,341691,389928,454305,482084,500956,506853,472188,452775,429766,452646
1,Armenia,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,1300,1300,1300,7300,2000,4700,6700,10200,13800,19300,16100,14700,20700,35500,32500,33000,29600,24800,22567,21971,22364,21403,22002,22964,21718,19613,16126,16349,15828
2,Afghanistan,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1040000,1070000,1081000,1100000,1026000,1120000,1120000,1120000,1130000,1130000,1200000,1200000,1000000,760000,790000,800000,800000,806524,1100000,1170000,1200000,1311000,1500000,1800000,2000000,2100000,2400000,2000000,1600000,2600000,2600000,2400000,2600000,2800000,3000000,3300000,3300000,3900000,3800000,4000000,4040000,4050000,3546870,3532299,3375559,3488486,3468958,3447771
2,Afghanistan,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,5650000,6300000,7000000,7200000,7150000,7140000,7350000,7530000,8300000,8130000,8200000,7000000,5667000,4167000,4333000,5000000,5667000,7085000,7100000,6750000,6500000,6664352,6300000,7000000,7600000,8100000,8800000,7500000,7000000,4400000,4500000,5100000,5400000,4600000,6700000,6530000,6200000,6700000,7304428,7104155,6793001,6956075,6835545,6860883,7143098,7016625,5474586,7036877
2,Afghanistan,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,980000,1010000,1000000,1030000,1040000,1040000,1050000,1050000,1050000,1050000,1180000,1050000,900000,750000,920000,1050000,1200000,1340000,1480000,1620000,1760000,1900000,2200000,1800000,2200000,2600000,2400000,2200000,1900000,2300000,2200000,2240000,2250000,2200000,2260000,2260000,2260000,2240000,2400000,2300000,2226000,2458673,2659958,2578662,2625075,2671327,2738045,2739703
2,Afghanistan,1130,"Milk, whole fresh camel",Milk Animals,5318,Head,30000,30000,30000,30000,30000,30000,27000,27000,27000,27000,27000,27000,27000,27000,30000,27000,24000,22000,20000,24527,24539,24551,24655,22000,24000,27000,27000,22000,20000,24600,26000,29600,25600,26000,26000,25300,26000,26000,26000,26000,26000,22057,21971,22031,22186,22188,21957,21922
3,Albania,882,"Milk, whole fresh cow",Milk Animals,5318,Head,158000,166000,166500,171000,190000,206000,214900,221000,233600,234900,235800,240000,222300,234000,252900,276300,285300,284000,303100,315400,335900,451100,470000,488000,432000,423000,432000,448000,441000,435000,443000,435000,430000,420000,396000,360000,353000,355000,354000,357644,356126,357965,357100,354872,349207,342683,316426,296311
3,Albania,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,300,300,290,290,290,290,280,281,280,280,285,285,285,285,285,286,280,270,255,250,180,30,30,15,15,15,15,15,15,15,30,30,30,20,30,30,30,30,30,30,30,30,29,30,30,30,30,30
3,Albania,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,854000,966000,966000,966000,966000,967000,970000,952000,960000,970000,975000,980000,883700,916700,945900,1000000,1076900,1060500,1141500,1232000,1414700,1630000,1736000,1453000,1372000,1395000,1435000,1448000,1440000,1414000,1441000,1348000,1312000,1426000,1378000,1321000,1309000,1337000,1349000,1390270,1412754,1418737,1417000,1427983,1407276,1366166,1257440,1150824
