# File: FAO_fallowland_kha_RESOURCESTAT.csv
# Title: FAO fallow land by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Armenia,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.87,135.9,135.5,133.4,155.9,151.5,129.5,130,123.2,109.2,92.9,151.5,203.3,216.8
2,Afghanistan,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5181,5567,4011,4882,4420,4265,4263,4570,4324,4312,4710,4336,4294,4286,4410,4310,4827,5494,4450
3,Albania,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,135,210,207,222,213,209.3,203.8,206.7,202,202,187.8,191.046,193
4,Algeria,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743,3734,3701.5,3383,3590,3405,3573,3563,3424,3276,3247,3152.3,3043,3065.5,3093.7,3030.5,2909.4188,,
5,American Samoa,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.06,0.06
7,Angola,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Argentina,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4270,4144.7,4019.4,3894.1,3768.8,3643.5,3518.2,3392.9,3267.6,3142.3,3017,2891.7,2766.4,2641.1,2515.8,2390.5,2264.7597,2264.7597
10,Australia,6640,Land with temporary fallow,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
