# File: FAO_harv_CL_kha_RESOURCESTAT.csv
# Title: FAO Temporary Crop (harvested cropland ) by country_year
# Units: 1000 Ha
# Description:  Data is cleaned and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:RL FAO.udpate:2021-06-17T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Armenia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.03,316.2,314.9,316,292.6,297.7,318.9,318.2,324.3,337.5,353.5,294.5,242.3,228
2,Afghanistan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,2111,3761,2934,3385,3529,3531,3224,3469,3481,3081,3454,3491,3485,3355,3419,2872,2300,3338
3,Albania,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,202,202,205,200.9,198,204.7,205.8,209.7,210.5,217.9,220
4,Algeria,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840,3813,3802.2,4110,3921,4065,3896,3926,4069,4226,4255,4354.2,4453.2,4403.9,4368.4,4373.7,4561.3883,,
5,American Samoa,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.24,0.23,0.23,0.24,0.24,0.23,0.23
7,Angola,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Argentina,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19584,21551.5,23519,25486.5,27454,29033,27861,26892,30581,31381,32554,32499,31324,30149,28974,27799,26624,26624
10,Australia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24200,23735,23240,25743,26402,24228,23125,23994.1,27141.6,25450.2,31694.9,31637.4,31220.8,31960.3,31090.7,30057,30752,30974,30573
11,Austria,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.9,1139.5,1125.325,1129.8,1119.9,1113.9,1136.9,1164.6,1162.1,1156.8,1155.5,1154.3,1153.4,1154.5,1139.9,1140.98,1132.98,1125.59,1119.05
12,Bahamas,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bahrain,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Barbados,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Belgium-Luxembourg,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bermuda,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bhutan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bolivia (Plurinational State of),6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,1926,2158,2261,2531,2630,2822,2669,2708,2789,2870,2829,2776,2798,2601,2840,2900
20,Botswana,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,158,170,182,108,227,253,243,289,263,258,380,157.8,157.8,157.8,157.8,158
21,Brazil,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aruba,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Belize,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Solomon Islands,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Brunei Darussalam,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.25,1.6,1.8,2.1,2.225,2.35,2.475,2.6,2.8,,,,,,,
27,Bulgaria,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,2949,2657,2777,2729,2601,2698,2757,2855,2889,2991,3106,3275,3306,3179.8,3195,3211.13,3209,3202
28,Myanmar,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304,9240,9267,9395,9620,9968,10279,10430,10537,10570,10556,10429,10332,10359,10489.9999,10498,10596.6,10615.3,10488.3736
29,Burundi,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cameroon,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Canada,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28954,28725,28496,28267,28038,27808,27915,28022,28129,28236,28343,29058,29773,30488,31204,31919,31747,32255,32415
35,Cabo Verde,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cayman Islands,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Central African Republic,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sri Lanka,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chad,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chile,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"China, mainland",6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Colombia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136,1870,1796.4,1838,1764,1702,1651,1493,1501,1636,1624.2,1612.5,1600.7,4751,4752,4771
45,Comoros,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Congo,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cook Islands,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Costa Rica,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.5,206,220,204,205,207
49,Cuba,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.9,1649.7,1585.2,1613.87,1589.6,1577,1428.7,1428.7,
50,Cyprus,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,93,107,102,102,97,93.4,70.6,73.1,73.1,71.7,74.4,69.1,67.7,81.5,69.7,76.7,87.1,78.5942
51,Czechoslovakia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azerbaijan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.9,1783.2,1785.6,1790.8,1797.6,1795.5,1808.4,1818.4,1832.5,1842.7,1843.8,1855,1884.3,1885.6,1897.5,1959,2054.7,2057.9,2056.6
53,Benin,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Denmark,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854,1845,1821,1836,1851,1860,1824,1877,1862,1824,1908,1824,1815.6,1849,1831.651,1825.6,1842,1818,1791.7
55,Dominica,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Dominican Republic,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Belarus,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ecuador,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,990,1073,1098,1043,1008,1001,1028.6,992.4,982.3,1020.9,1003,876,951,850,904,799,770
59,Egypt,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,El Salvador,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,424,432,336,360,365.8,371.6,377.4,383.2,389,394.8,400.6,406.4,412.2,418,423.7,423.7
61,Equatorial Guinea,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ethiopia PDR,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estonia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.4,340.7,343.3,367.2,376.2,399.9,415.2,427.1,403.6,416.8,411.3,431,453,473,501,501,495,502.5
64,Faroe Islands,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fiji,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Finland,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.3,1356.1,1364.8,1404.7,1375.5,1382.5,1370.7,1415.1,1388.3,1288.8,1307.5,1322.1,1321.1,1331.8,1281.3,1297,1271,1234,1237
68,France,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13937.6,14002.2,13908.4,14062.5,13949,13876.1,13832.8,14236.1,14281.3,14240.3,14272.3,14348.3,14447.6,14552.7,14840.5,14650.422,14642.26,14555.3,14460.109
69,French Guyana,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.6,10.7,10.7,8.7,9.5,10,10.9,11,10.9,10.82,10.82,10.82
70,French Polynesia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Djibouti,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Georgia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,370,330,297,329,308,275,262.4,260,310.7,254,263.7,240,220,207,203
74,Gabon,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gambia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Germany,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382,9416,9299,9395,9305,9169,9141,9362,9352,9023,8832,8804,8917,8823,8790,8662,8700,8500,8387
80,Bosnia and Herzegovina,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,574,550,557,553,557,556,557,525,512,527,527,578,560,574,598,594,597,605
81,Ghana,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kiribati,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Greece,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2292,2277,2280,2210,2235.5,2131,2097,2108,2090,2092,2071,2038,2011,1833,1804,1787,1783,1781.6,1781.6
86,Grenada,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Guadeloupe,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Guam,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Guatemala,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,917.94,910.88,903.82,896.76,889.7,803.9,692,692,692,692,692
90,Guinea,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Guyana,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haiti,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Honduras,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"China, Hong Kong SAR",6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hungary,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4325,4440,4339,4224,4250,4295,4244,4134.3,4143,4246,4154,4235,4173,4147,4077,4084,4093
98,Croatia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,785,830,833,801,811.7,816.3,852.4,844.7,856.1,844.1,731,737,792,726,715,727
99,Iceland,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,8,6,5,5,5,5,5,5,5,5
100,India,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Indonesia,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Iran (Islamic Republic of),6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11268,11458,11647,11836,12026,12216,12406,11182,11358,11310,11262,11214,11118,11118,11118,11118,11093.5,11069,11133
103,Iraq,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513.75,3889.75,1563.25,1518.75,1608,1109,3012
104,Ireland,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,422,434,422,398,378,377,416,399,352,364,381,376,366,358,365,364,356,355
105,Israel,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,259,244,221,221,213,215.8,209.7,214.3,203.6,205.7,204.8,195.8,210.5,207.2,205,297,293.5,288
106,Italy,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012,4441,4576,4110,4417,4496,4355,4317,4305,4255.07,4247,4170
107,Cote dIvoire,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Kazakhstan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jamaica,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Japan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,3779,3760,3744,3729,3716,3702,3687,3675,3665,3639,3633,3226,3203,3133,3102,3176,3172,3162
112,Jordan,6630,Land under temporary crops,5110,Area,1000 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,172,153,185,161,166,99,116.8,141.9,134,114.6,160.4,177.3,189.4,180.2,186.06,111,133.8,141.6214
