# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,CornC4_AfrCstE_IRR_hi,0.014466,4465950
Africa_Eastern,CornC4_AfrCstE_IRR_lo,0.014466,2977250
Africa_Eastern,CornC4_AfrCstE_RFD_hi,4.83902,4625770
Africa_Eastern,CornC4_AfrCstE_RFD_lo,4.83902,3083850
Africa_Eastern,CornC4_AfrCstNE_IRR_hi,0.259411,2205130
Africa_Eastern,CornC4_AfrCstNE_IRR_lo,0.259411,1470080
Africa_Eastern,CornC4_AfrCstNE_RFD_hi,0.110954,3873690
Africa_Eastern,CornC4_AfrCstNE_RFD_lo,0.110954,2582460
Africa_Eastern,CornC4_CongoR_IRR_hi,0,0
Africa_Eastern,CornC4_CongoR_IRR_lo,0,0
Africa_Eastern,CornC4_CongoR_RFD_hi,0.583165,5178800
Africa_Eastern,CornC4_CongoR_RFD_lo,0.583165,3452540
Africa_Eastern,CornC4_LChad_IRR_hi,0.0197033,5152260
Africa_Eastern,CornC4_LChad_IRR_lo,0.0197033,3434800
Africa_Eastern,CornC4_LChad_RFD_hi,0.0183897,2917830
Africa_Eastern,CornC4_LChad_RFD_lo,0.0183897,1945220
Africa_Eastern,CornC4_Madagascar_IRR_hi,0,0
Africa_Eastern,CornC4_Madagascar_IRR_lo,0,0
Africa_Eastern,CornC4_Madagascar_RFD_hi,1.09948,4624620
Africa_Eastern,CornC4_Madagascar_RFD_lo,1.09948,3083080
Africa_Eastern,CornC4_NileR_IRR_hi,0.843341,5393990
Africa_Eastern,CornC4_NileR_IRR_lo,0.843341,3595990
Africa_Eastern,CornC4_NileR_RFD_hi,18.5832,6024290
Africa_Eastern,CornC4_NileR_RFD_lo,18.5832,4016190
Africa_Eastern,CornC4_RiftValley_IRR_hi,0.399041,9386130
Africa_Eastern,CornC4_RiftValley_IRR_lo,0.399041,6257420
Africa_Eastern,CornC4_RiftValley_RFD_hi,5.18203,1.03E+07
Africa_Eastern,CornC4_RiftValley_RFD_lo,5.18203,6867930
Africa_Eastern,CornC4_ShebJubR_IRR_hi,0.586356,4605630
Africa_Eastern,CornC4_ShebJubR_IRR_lo,0.586356,3070420
Africa_Eastern,CornC4_ShebJubR_RFD_hi,1.322,1.83E+07
Africa_Eastern,CornC4_ShebJubR_RFD_lo,1.322,1.22E+07
Africa_Eastern,FiberCrop_AfrCstE_IRR_hi,0.0162523,7496420
Africa_Eastern,FiberCrop_AfrCstE_IRR_lo,0.0162523,4997340
Africa_Eastern,FiberCrop_AfrCstE_RFD_hi,0.145573,6567150
Africa_Eastern,FiberCrop_AfrCstE_RFD_lo,0.145573,4378130
Africa_Eastern,FiberCrop_AfrCstNE_IRR_hi,0.0121129,5487680
Africa_Eastern,FiberCrop_AfrCstNE_IRR_lo,0.0121129,3658030
Africa_Eastern,FiberCrop_AfrCstNE_RFD_hi,0.0062295,700970
