# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (domain:PD FAO.udpate:2022-03-01T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.0936,22.0401,23.3848,23.9895,28.1311,30.2763,34.2715,35.6559,33.2425,32.6013,31.0574,29.9545,29.4314,28.6624,27.8063,27.718,35.1814,40.8928,43.0289,44.1937,45.126,35.3414,43.5183,40.6932,47.0076,49.4925,38.2012,62.5306,71.3496,55.2728,54.4991,60.3719,64.8271,68.2008,73.6699,81.0205,82.7741,99.697,110.229,110.821,106.545,102.994,100,94.8256,95.371,90.6802,86.6344
Albania,3,GDP Deflator,22024,"Value US$, 2015 prices",6179,69.108,68.3679,67.5978,66.8621,66.1946,65.3388,52.4577,45.8789,44.8778,44.8704,44.8658,44.8501,45.008,43.956,43.956,46.1307,50.1944,40.684,42.0598,43.0183,44.0376,44.9779,50.4901,61.8837,48.2566,50.9234,56.8815,57.5771,59.8648,63.5228,76.8552,93.9974,99.935,104.256,118.067,132.501,119.869,114.459,120.639,113.683,116.726,118.748,100,100.824,106.617,119.185,117.612
Algeria,4,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.9461,31.7686,35.217,37.8432,40.9029,46.6461,54.6363,68.9848,70.1654,67.1819,68.8388,70.7105,74.6908,80.894,83.2908,76.7065,69.3262,76.7378,58.5687,60.6721,64.1712,53.9085,51.4943,55.1996,56.0354,53.328,52.1603,56.604,55.3472,54.09,60.265,72.6536,82.9696,92.5151,103.197,127.674,100.832,114.35,137.882,139.375,136.03,133.584,100,93.4286,98.029,99.895,96.697
Andorra,6,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.4642,20.4502,23.9984,23.9878,26.0672,31.1556,41.61,44.1561,38.5296,36.7768,31.5166,31.1739,32.0054,43.0878,51.7749,58.1403,61.157,76.2261,79.9611,86.6043,72.8331,71.8761,81.0285,81.9604,72.4833,72.1019,70.8564,63.8004,63.8764,69.3566,85.8168,97.2849,100.745,105.14,118.394,129.594,123.064,117.766,123.852,114.673,119.031,118.841,100,100.084,103.375,109.161,105.038
Angola,7,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.4062,17.8501,13.8492,14.0222,15.1805,17.8798,19.7933,25.6925,25.1168,25.1168,25.1892,25.1278,29.9905,27.2572,29.3548,29.9731,34.7397,38.573,45.2308,55.1487,52.5687,53.3867,22.2466,25.7388,28.1208,22.6347,21.1474,30.4481,28.8954,32.2756,36.5197,43.5198,59.3896,75.3657,82.3662,100.514,79.1371,89.9529,115.972,122.389,124.495,126.588,100,89.3351,108.046,91.5033,77.9106
Anguilla,258,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.2233,14.5918,15.4087,14.5299,16.2091,17.4064,18.3407,20.1832,22.4544,26.2052,30.2173,33.5839,37.3263,42.7934,48.2437,52.2557,59.9352,52.9963,66.5746,56.2061,57.061,58.951,60.9192,62.7549,63.4918,65.0488,66.6561,67.0058,67.5924,71.4098,72.8875,75.6743,76.1795,78.5803,86.6538,87.696,85.6937,85.0615,89.19,91.2356,92.3943,97.1477,100,99.422,94.1873,98.0042,110.13
Antigua and Barbuda,8,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.0826,22.7645,24.63,22.487,23.8596,26.0917,29.0059,32.4348,34.9641,38.5889,40.1327,42.2668,45.3088,49.5878,52.9544,58.1981,60.8643,61.8687,63.4812,65.0437,66.2231,68.3717,70.015,72.0994,73.4169,74.9659,76.0936,77.2755,78.4212,78.9716,78.2886,79.4938,83.0406,83.3791,86.4926,90.2815,91.9399,93.2946,94.2419,96.1604,95.2502,97.0709,100,101.872,100.925,103.197,103.372
Argentina,9,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.9282,17.0009,18.2036,19.2759,20.4239,21.8212,23.6416,25.7771,28.2162,29.9595,31.1329,32.256100000000004,33.2762,37.3012,37.3895,44.4703,28.8806,53.9967,65.5848,71.7029,69.8368,71.8221,74.0405,74.0082,73.6768,72.4204,71.0903,71.8277,71.0407,30.2622,35.3132,38.2702,42.5043,45.9602,52.1213,63.2078,61.8032,71.1584,83.4456,92.4649,95.2446,90.3294,100,88.2888,99.1296,82.2258,72.6937
Armenia,1,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,42.3437,43.347,44.2726,45.2009,52.9774,52.6136,56.5984,53.4615,52.2929,52.896,51.5742,53.4225,61.6173,74.1439,85.3342,108.177,128.131,110.676,115.944,121.342,111.172,112.755,113.567,100,99.7603,101.408,104.174,106.272
Aruba,22,GDP Deflator,22024,"Value US$, 2015 prices",6179,68.3606,66.0059,63.7322,61.5369,59.4172,57.3705,55.3943,53.4862,51.6438,49.8649,48.1473,46.4888,44.8874,43.3412,44.9018,46.2903,48.127,50.926,53.784,55.8238,58.7805,62.4917,60.5282,62.4645,64.3171,65.553,67.0399,69.7536,71.7583,74.1414,76.8475,78.7915,81.4655,84.4094,88.5537,95.1848,94.7347,93.6796,99.5789,100.365,98.1043,100.137,100,99.5373,100.588,104.474,108.164
Australia,10,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.5456,28.8733,30.0249,31.2287,30.6695,34.3918,36.949,41.2243,46.4764,45.1916,43.293,44.1238,37.381,38.3041,43.0139,52.4392,56.3088,57.2753,58.0136,55.1836,51.6178,56.7526,59.0913,63.1516,60.6558,51.5245,54.2818,51.0322,46.8281,50.7228,62.5519,73.6252,80.3453,83.1966,96.6325,101.712,95.6758,119.565,136.947,137.295,129.906,120.63,100,102.646,107.824,108.684,103.112
Austria,11,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.6546,21.3967,24.4466,25.0694,28.6271,34.5326,39.0577,42.6063,36.9355,36.3304,35.7,33.6364,33.4941,46.7295,57.806,60.0899,57.7422,69.2081,69.8482,76.794,74.5503,77.8403,89.7888,86.3485,75.8519,75.1111,72.1744,63.2659,62.6446,66.6395,80.9605,90.6195,93.0631,95.6542,106.679,116.407,112.482,108.175,115.623,109.063,114.532,116.935,100,101.581,104.634,111.258,107.286
Azerbaijan,52,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,33.4959,34.2895,35.0217,35.756,36.4107,42.9256,43.8046,42.0245,43.5367,42.8823,42.8118,45.3267,49.4926,59.0183,69.5269,87.2881,116.666,96.7174,110.246,139.63,144.341,145.141,143.246,100,73.5993,79.3077,90.0771,89.8711
Bahamas,12,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.786,28.8195,31.5882,33.0817,32.1825,32.863,31.6543,35.6684,40.7084,42.9598,46.1541,43.1743,44.8509,47.6279,50.9191,51.7462,54.654,57.4131,58.8849,61.1895,60.6624,61.9817,62.4932,68.0629,69.311,71.4242,74.9605,75.6515,75.9188,78.9264,79.8373,80.7911,84.8765,85.5796,88.1011,89.4128,88.4869,88.1397,87.382,90.2375,91.4059,95.1016,100,100.409,101.964,103.18,106.296
Bahrain,13,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.5441,17.0967,19.778,21.814,24.2754,26.6945,30.7649,38.6649,46.7568,53.1448,50.1934,50.0333,55.7318,46.0431,45.9031,46.236,48.4421,50.7536,51.394,49.8293,48.3205,53.2138,55.2733,55.6722,56.3916,51.4299,52.595,58.7415,56.7655,58.7036,63.7537,70.7609,80.4799,87.5962,94.9855,105.784,92.0378,98.8841,108.512,111.784,112.213,110.338,100,100.098,105.914,110.454,111.135
Bangladesh,16,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6762,26.8967,29.3881,31.0054,31.8035,38.0655,42.0393,47.2666,46.3667,41.6873,40.5595,45.0959,45.4244,45.9215,50.0833,52.5753,55.7053,54.5338,56.3587,55.1948,54.491,55.6397,59.6281,59.8987,58.798,57.9226,57.9273,55.546,52.7209,52.4494,54.5771,55.5888,54.0379,61.5332,65.5706,71.0103,75.3297,80.0046,81.0521,79.4125,89.207,94.8246,100,105.769,109.917,111.858,115.479
Barbados,14,GDP Deflator,22024,"Value US$, 2015 prices",6179,12.1762,15.2694,17.2573,17.9477,19.698,21.0201,23.6223,29.0482,32.5994,35.828,37.8448,39.8353,41.243,43.0879,46.2612,47.5634,50.7675,52.7006,54.4075,56.5355,58.9121,59.6796,61.5054,63.0795,63.6562,69.1877,72.2647,71.2943,72.9096,73.5662,74.3938,78.727,83.976,85.1644,92.3502,93.8873,92.3076,95.8286,99.1989,98.6286,101.498,102.041,100,99.9548,102.531,105.381,108.023
Belarus,57,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,69.862,71.5172,73.0444,74.576,75.9415,66.264,65.9778,50.8582,41.2608,46.7248,52.564,60.0018,69.908,83.3881,92.7515,104.638,127.359,103.001,107.541,109.956,114.933,130.908,134.258,100,86.6693,96.9186,103.068,106.973
Belgium,255,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6081,63.996,68.4099,83.5565,93.6863,95.7859,98.8128,109.889,119.855,114.272,111.006,118.619,111.786,116.986,118.056,100,101.653,105.713,112.308,108.223
Belize,23,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.8846,29.1533,33.5555,26.6256,32.8568,34.7701,39.1281,51.6932,50.5508,47.1071,50.7622,55.543,54.5393,56.8017,61.9523,64.6146,65.9313,66.0362,68.6941,70.0807,71.2381,73.7941,78.2796,79.8211,78.6427,79.824700000000007,78.0411,78.4125,78.1704,79.5129,77.3209,78.8776,81.0997,84.9584,88.822,91.2089,88.7192,90.0466,93.714,95.3928,97.6625,99.2104,100,102.89,104.501,104.3,104.483
Benin,53,GDP Deflator,22024,"Value US$, 2015 prices",6179,34.2902,34.4929,45.0521,47.3107,49.6491,60.5815,68.3137,79.7775,71.4503,62.9054,56.8189,50.519,46.7333,58.4369,69.3992,69.8275,65.2202,73.5034,71.4758,78.483,75.1083,51.7251,67.7724,70.6892,64.2272,66.8676,64.3509,58.0647,57.5076,62.6317,77.4089,85.8181,89.6414,92.32,101.116,115.183,112.01,107.729,117.295,116.435,122.277,120.623,100,100.523,102.214,107.57,101.652
Bermuda,17,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.9024,13.6858,14.5558,14.961,15.8371,16.7902,18.3169,21.1893,24.0199,26.7728,29.5629,31.7683,33.7132,35.843,37.7322,39.7894,42.1351,44.7901,46.413,48.5264,50.4635,51.6759,52.6207,53.7732,55.5483,57.0627,58.6199,59.5806,58.7655,63.8078,65.6102,68.6642,73.3074,77.277,82.1679,85.1178,86.9877,87.945,86.9325,92.7554,94.2926,97.1326,100,104.373,104.274,105.931,104.833
