# File: A22.subsector_interp_R.csv
# Title: Region-specific electric subsector shareweights interpolation rules by GCAM4 region
# Descreption: adjust biomass liquid share weight for few regions with palm biodiesel to lower values. This is needed due to data update.
# Units: Unitless share-weights
# Source: EMRE
# Comment:
# Column types: ccccnnnc 
# ----------
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
USA,refining,biomass liquids,share-weight,2015,2030,1,linear
Africa_Eastern,refining,biomass liquids,share-weight,2015,2050,1,linear
Africa_Northern,refining,biomass liquids,share-weight,2015,2050,1,linear
Africa_Southern,refining,biomass liquids,share-weight,2015,2050,1,linear
Africa_Western,refining,biomass liquids,share-weight,2015,2050,1,linear
Australia_NZ,refining,biomass liquids,share-weight,2015,2030,1,linear
Brazil,refining,biomass liquids,share-weight,2015,2030,1,linear
Canada,refining,biomass liquids,share-weight,2015,2030,1,linear
Central America and Caribbean,refining,biomass liquids,share-weight,2015,2050,1,linear
Central Asia,refining,biomass liquids,share-weight,2015,2050,1,linear
China,refining,biomass liquids,share-weight,2015,2050,1,linear
EU-12,refining,biomass liquids,share-weight,2015,2050,1,linear
EU-15,refining,biomass liquids,share-weight,2015,2050,1,linear
Europe_Eastern,refining,biomass liquids,share-weight,2015,2030,1,linear
Europe_Non_EU,refining,biomass liquids,share-weight,2015,2030,1,linear
European Free Trade Association,refining,biomass liquids,share-weight,2015,2030,1,linear
India,refining,biomass liquids,share-weight,2015,2070,1,linear
Indonesia,refining,biomass liquids,share-weight,2015,2050,0.5,linear
Japan,refining,biomass liquids,share-weight,2015,2030,1,linear
Mexico,refining,biomass liquids,share-weight,2015,2030,1,linear
Middle East,refining,biomass liquids,share-weight,2015,2030,1,linear
Pakistan,refining,biomass liquids,share-weight,2015,2030,1,linear
Russia,refining,biomass liquids,share-weight,2015,2030,1,linear
South Africa,refining,biomass liquids,share-weight,2015,2030,1,linear
South America_Northern,refining,biomass liquids,share-weight,2015,2030,1,linear
South America_Southern,refining,biomass liquids,share-weight,2015,2030,1,linear
South Asia,refining,biomass liquids,share-weight,2015,2030,1,linear
South Korea,refining,biomass liquids,share-weight,2015,2030,1,linear
Southeast Asia,refining,biomass liquids,share-weight,2015,2050,0.5,linear
Taiwan,refining,biomass liquids,share-weight,2015,2030,1,linear
Argentina,refining,biomass liquids,share-weight,2015,2030,1,linear
Colombia,refining,biomass liquids,share-weight,2015,2030,1,linear
