# File: A23.subsector_interp.csv
# Title: Electricity subsector shareweight interpolation
# Units: Unitless share-weights
# Source: None (GCAM assumptions)
# Column types: cccccnc 
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
electricity,coal,share-weight,final-calibration-year,2100,1,linear
electricity,gas,share-weight,final-calibration-year,2100,1,linear
electricity,refined liquids,share-weight,final-calibration-year,2100,,linear
electricity,biomass,share-weight,final-calibration-year,2050,1,linear
electricity,nuclear,share-weight,final-calibration-year,2020,0,linear
electricity,nuclear,share-weight,2020,2100,1,linear
electricity,wind,share-weight,final-calibration-year,2050,1,linear
electricity,solar,share-weight,final-calibration-year,2050,1,linear
electricity,geothermal,share-weight,final-calibration-year,2050,1,linear
elect_td_bld,rooftop_pv,share-weight,final-calibration-year,2050,1,linear
