# File: A23.subsector_shrwt_nuc_R.csv
# Title: Region-specific nuclear electric subsector shareweights by GCAM3 region
# Units: Unitless share-weights
# Source:
# Column types: ccccnnnn 
# ----------
region_GCAM3,iso,supplysector,subsector,2015,2020,2030,2100
USA,,electricity,nuclear,0,0.058823529,0.176470588,1
Canada,,electricity,nuclear,0,0.058823529,0.176470588,1
Western Europe,,electricity,nuclear,0,0.058823529,0.176470588,1
Japan,,electricity,nuclear,0,0.058823529,0.176470588,1
Australia_NZ,,electricity,nuclear,0,0.058823529,0.176470588,1
Former Soviet Union,,electricity,nuclear,0,0.058823529,0.176470588,1
China,,electricity,nuclear,0,0.333333333,1,1
Middle East,,electricity,nuclear,0,0.058823529,0.176470588,1
Africa,,electricity,nuclear,0,0.058823529,0.176470588,1
Latin America,,electricity,nuclear,0,0.058823529,0.176470588,1
Southeast Asia,,electricity,nuclear,0,0.058823529,0.176470588,1
Eastern Europe,,electricity,nuclear,0,0.058823529,0.176470588,1
Korea,,electricity,nuclear,0,0.058823529,0.176470588,1
India,,electricity,nuclear,0,0.058823529,0.176470588,1
,abw,electricity,nuclear,0,0.058823529,0.176470588,1
,aia,electricity,nuclear,0,0.058823529,0.176470588,1
,ant,electricity,nuclear,0,0.058823529,0.176470588,1
,atg,electricity,nuclear,0,0.058823529,0.176470588,1
,bhs,electricity,nuclear,0,0.058823529,0.176470588,1
,blz,electricity,nuclear,0,0.058823529,0.176470588,1
,bol,electricity,nuclear,0,0.058823529,0.176470588,1
,bra,electricity,nuclear,0,0.058823529,0.176470588,1
,brb,electricity,nuclear,0,0.058823529,0.176470588,1
,chl,electricity,nuclear,0,0.058823529,0.176470588,1
,col,electricity,nuclear,0,0.058823529,0.176470588,1
,cri,electricity,nuclear,0,0.058823529,0.176470588,1
,cub,electricity,nuclear,0,0.058823529,0.176470588,1
,cym,electricity,nuclear,0,0.058823529,0.176470588,1
,dma,electricity,nuclear,0,0.058823529,0.176470588,1
,dom,electricity,nuclear,0,0.058823529,0.176470588,1
,ecu,electricity,nuclear,0,0.058823529,0.176470588,1
,glp,electricity,nuclear,0,0.058823529,0.176470588,1
,grd,electricity,nuclear,0,0.058823529,0.176470588,1
,gtm,electricity,nuclear,0,0.058823529,0.176470588,1
,guf,electricity,nuclear,0,0.058823529,0.176470588,1
,guy,electricity,nuclear,0,0.058823529,0.176470588,1
,hnd,electricity,nuclear,0,0.058823529,0.176470588,1
,hti,electricity,nuclear,0,0.058823529,0.176470588,1
,jam,electricity,nuclear,0,0.058823529,0.176470588,1
,kna,electricity,nuclear,0,0.058823529,0.176470588,1
,lca,electricity,nuclear,0,0.058823529,0.176470588,1
,msr,electricity,nuclear,0,0.058823529,0.176470588,1
,nic,electricity,nuclear,0,0.058823529,0.176470588,1
,pan,electricity,nuclear,0,0.058823529,0.176470588,1
,per,electricity,nuclear,0,0.058823529,0.176470588,1
,pry,electricity,nuclear,0,0.058823529,0.176470588,1
,slv,electricity,nuclear,0,0.058823529,0.176470588,1
,sur,electricity,nuclear,0,0.058823529,0.176470588,1
,tto,electricity,nuclear,0,0.058823529,0.176470588,1
,ury,electricity,nuclear,0,0.058823529,0.176470588,1
,vct,electricity,nuclear,0,0.058823529,0.176470588,1
,ven,electricity,nuclear,0,0.058823529,0.176470588,1
,che,electricity,nuclear,0,0.058823529,0.176470588,1
,isl,electricity,nuclear,0,0.058823529,0.176470588,1
,lie,electricity,nuclear,0,0.058823529,0.176470588,1
,nor,electricity,nuclear,0,0.058823529,0.176470588,1
,sjm,electricity,nuclear,0,0.058823529,0.176470588,1
,pak,electricity,nuclear,0,0.058823529,0.176470588,1
,mac,electricity,nuclear,0,0.333333333,1,1
,hkg,electricity,nuclear,0,0.333333333,1,1
