# File: A25.globaltech_cost.csv
# Title: Hydrogen non-energy costs
# Units: $1975/GJ
# Column types: ccccnnnnnnnnnnnnnnnnnnn 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
H2 central production,coal,coal chemical,non-energy,2.294,2.294,2.214,2.136,2.062,1.989,1.920,1.853,1.788,1.725,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698
H2 central production,coal,coal chemical CCS,non-energy,3.786,3.786,3.661,3.540,3.424,3.311,3.201,3.096,2.994,2.895,2.832,2.798,2.765,2.733,2.702,2.672,2.643,2.614,2.608
H2 central production,gas,natural gas steam reforming,non-energy,0.752,0.752,0.733,0.715,0.697,0.679,0.662,0.646,0.630,0.614,0.599,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586
H2 central production,gas,natural gas steam reforming CCS,non-energy,1.718,1.718,1.705,1.692,1.680,1.667,1.655,1.642,1.630,1.618,1.606,1.594,1.582,1.570,1.558,1.546,1.535,1.523,1.512
H2 central production,biomass,biomass to H2,non-energy,2.437,2.437,2.351,2.269,2.190,2.113,2.039,1.968,1.899,1.832,1.803,1.803,1.803,1.803,1.803,1.803,1.803,1.803,1.803
H2 central production,biomass,biomass to H2 CCS,non-energy,4.022,4.022,3.889,3.760,3.636,3.516,3.400,3.288,3.180,3.075,3.008,2.972,2.937,2.903,2.870,2.838,2.807,2.777,2.754
H2 central production,nuclear,thermal splitting,non-energy,8.353,8.353,8.270,8.187,8.105,8.024,7.944,7.864,7.786,7.708,7.631,7.555,7.479,7.404,7.330,7.257,7.184,7.112,7.100
H2 central production,electricity,electrolysis,non-energy,2.766,2.766,2.344,1.987,1.684,1.427,1.209,1.025,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940
H2 central production,wind,electrolysis,non-energy,10.981,10.981,10.432,9.910,9.415,8.944,8.497,8.072,7.668,7.357,7.357,7.357,7.357,7.357,7.357,7.357,7.357,7.357,7.357
H2 central production,solar,electrolysis,non-energy,12.712,12.712,11.790,10.936,10.143,9.407,8.725,8.093,7.506,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500
H2 forecourt production,gas,natural gas steam reforming,non-energy,1.700,1.700,1.683,1.666,1.649,1.633,1.616,1.600,1.584,1.568,1.553,1.537,1.522,1.507,1.491,1.477,1.462,1.447,1.445
H2 forecourt production,electricity,electrolysis,non-energy,3.021,3.021,2.538,2.132,1.791,1.504,1.264,1.061,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967
H2 distribution,H2 distribution,H2 distribution,non-energy,1.230,1.230,1.166,1.101,1.037,0.972,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908
H2 enduse,H2 distribution,H2 distribution,non-energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2 enduse,H2 forecourt production,H2 forecourt production,non-energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
